,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,score_pos,score_neg,missing_score_pos,missing_score_neg,gender_M,gender_V,client_segment_0.0,client_segment_1.0,client_segment_2.0,client_segment_3.0,client_segment_4.0,client_segment_5.0,sect_empl_0.0,sect_empl_1.0,sect_empl_2.0,sect_empl_4.0,sect_empl_6.0,sect_empl_3.0
251,-0.9164137535713724,-1.142158201533439,-0.6873249624447525,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.9806283340993099,1.0,0.39680545310422244,0.0,0.0,-0.23724773309266944,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,1.1253559288039623,0.43240741663695076,0.0,-0.35249814411961783,-0.19291022174170488,-0.04300006450375216,-0.4098750849311718,0.0,0.0,0.0,-0.6520682125291255,-1.2010777407123883,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
481,-0.7252903984480037,-0.7923115881767115,-0.6736060074101314,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-0.3379108243126916,1.0,-0.05356839748444563,0.0,0.0,1.119041693396576,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077317,-0.4994353526443309,0.6040628797565981,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,1.0,0.0,-0.5205351328558557,-0.9394170265074543,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
51,0.5794535437401745,0.8535949042257777,-0.4784750284192047,-0.4090329055057807,-0.4522855472547795,0.8026208726224764,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,0.7331941189565587,0.0,0.0,-0.7304438881796679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,2.075797899949888,0.17810302683006568,0.0,-0.35249814411961783,-0.19291022174170488,1.1186468046841305,-0.4098750849311718,0.0,0.0,0.0,-0.20301225109277796,-0.9394170265074543,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
33,0.25261052474457557,0.4245807494457013,0.9856737111617319,-0.4090329055057807,1.2163751163610201,0.870757653861629,-0.20815979745000354,0.0,1.0,1.0,0.0,0.0,-0.01655206941938245,1.0,-0.7373172424562897,1.0,0.0,-1.346939082038416,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,0.5277715628145326,0.0,-0.35249814411961783,-0.19291022174170488,-0.04300006450375216,-0.4098750849311718,0.0,0.0,0.0,0.03133594632272659,-0.9394170265074543,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
107,-0.9164137535713724,-1.142158201533439,-0.6882440653362345,0.9021973534808237,1.2163751163610201,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,-0.7373172424562897,1.0,0.0,-0.23724773309266944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.286691197821805,-0.4994353526443309,-1.3350080925209005,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,0.0,0.0,-0.5510651713228437,-0.9394170265074543,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
330,1.00456320828713,1.0501660285520433,-0.061763678000876315,2.576561834177526,1.2163751163610201,0.870757653861629,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,1.268882950153854,1.0,0.575539508771572,1.0,0.0,-1.1619905238807915,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04475227785703656,-0.4994353526443309,-0.7818960446909253,0.0,-0.35249814411961783,-0.19291022174170488,0.4893274471301176,-0.4098750849311718,0.0,0.0,0.0,1.8978773118117036,0.10385853103539525,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
35,0.1051372789461882,0.5909476667861583,-0.33832082796936574,-0.4090329055057807,-0.4522855472547795,0.870757653861629,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,0.3048066854739267,1.0,0.7331941189565587,0.0,0.0,-1.4085886014242908,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,0.16538780733972144,0.0,-0.35249814411961783,-0.19291022174170488,1.0362837108014338,-0.4098750849311718,0.0,0.0,0.0,0.018750089014704752,-0.9394170265074543,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
374,0.9199869367311275,0.8819068504978307,-0.11212144525064163,-0.4090329055057807,-0.4522855472547795,0.9667991324851513,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.6261654403672359,1.0,-0.05356839748444563,0.0,0.0,1.5505883290976998,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1971866421077317,-0.4994353526443309,0.750287903895557,0.0,-0.35249814411961783,-0.19291022174170488,0.839126395454457,-0.4098750849311718,0.0,1.0,0.0,-1.0098162629952976,-1.2437548280602184,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
343,-0.9164137535713724,-1.142158201533439,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.3048066854739267,1.0,-0.05356839748444563,0.0,0.0,0.37924746076607857,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,-0.9090482395943679,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,0.5208338893453031,-1.3695915698199994,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
324,-0.9164137535713724,-1.142158201533439,-0.3485335718397119,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-0.6592695792060008,1.0,-0.05356839748444563,0.0,0.0,-0.8537429269514175,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.286691197821805,-0.4994353526443309,0.08591768552506986,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451985,-0.4098750849311718,0.0,0.0,0.0,0.05334453192182224,-0.2788636406743102,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
