,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,outcome_profit,outcome_damage_inc,outcome_damage_amount,score_pos,score_neg,missing_score_pos,missing_score_neg,gender_M,gender_V,client_segment_0.0,client_segment_1.0,client_segment_2.0,client_segment_3.0,client_segment_4.0,client_segment_5.0,sect_empl_0.0,sect_empl_1.0,sect_empl_2.0,sect_empl_3.0,sect_empl_4.0,sect_empl_6.0
1090,-0.9164137535713724,-1.142158201533439,-0.13795313694778807,-0.4090329055057807,-0.4522855472547795,0.8026208726224764,4.804001599973612,0.0,0.0,1.0,0.0,0.0,-0.01655206941938245,1.0,-2.2078286038691384,0.0,0.0,0.6874950576954526,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.1971866421077317,-0.4994353526443309,-0.006267655779925974,0.0,-0.35249814411961783,-0.19291022174170488,1.3899604956287104,-0.4098750849311718,0.0,1.0,0.0,6.423490440384132,0,0.0,1.3696053751415802,0.3251065134220913,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4542,-0.8893985167477688,-1.142158201533439,-0.5496316433528715,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,-0.9806283340993099,1.0,-0.05356839748444563,0.0,0.0,-1.2852895626525411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,-1.4430874581888264,0.0,-0.35249814411961783,-0.19291022174170488,-0.6367992759371798,-0.4098750849311718,0.0,0.0,0.0,6.840963554620999,1,6.129028423330841,0.2530096316141843,0.09095039152777538,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3439,1.232654735400828,1.4300572733065358,1.367869161308605,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,1.9116004599404726,1.0,-0.35224986210866466,0.0,0.0,0.255948421994329,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.286691197821805,1.1253559288039623,2.22525336477549,0.0,-0.35249814411961783,-0.19291022174170488,0.013913839952952242,2.9708244386849767,1.0,0.0,1.0,7.226470794014091,1,6.652320946969366,0.9289571326560251,0.756851179871852,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3122,0.9150278724907517,0.7782780035635826,1.1649252719363041,-0.4090329055057807,-0.4522855472547795,0.870757653861629,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-1.6233458438859283,1.0,0.7331941189565587,1.0,0.0,0.9957426546248266,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1971866421077317,-0.4994353526443309,0.4006193679110901,0.0,-0.35249814411961783,-0.19291022174170488,1.53906964724152,-0.4098750849311718,0.0,0.0,0.0,6.844783529816097,1,7.217149918339568,0.5452805198395583,1.4075602806589307,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
129,1.6018330948243786,1.2649730140720672,-0.39764508969302537,-0.4090329055057807,-0.4522855472547795,0.8391303743319072,-0.20815979745000354,0.0,0.0,1.0,1.0,0.0,-1.6233458438859283,1.0,0.8742209733957916,1.0,0.0,-1.1003410044949167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04475227785703656,1.1253559288039623,0.648566147972803,0.0,-0.35249814411961783,-0.19291022174170488,0.2878352965989627,-0.4098750849311718,0.0,0.0,0.0,7.347396345557439,0,0.0,-0.8402441205770603,-1.3410922530272331,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4610,-0.5499495120748913,0.9965090274442868,-0.6618175499693356,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,1.0,-0.01655206941938245,1.0,-0.35224986210866466,0.0,0.0,-0.6071448494079182,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,0.9473738059958929,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,7.628994166708266,0,0.0,-1.9276476968898282,-1.3410922530272331,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1104,1.775088493982664,1.5169117904096279,1.7744054033715146,2.313715763257194,1.2163751163610201,1.149959016590269,-0.20815979745000354,0.0,1.0,0.0,0.0,0.0,0.3048066854739267,1.0,-2.2078286038691384,1.0,0.0,0.07099986383670456,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.286691197821805,1.1253559288039623,2.301544681717556,0.0,2.9142936601685645,-0.19291022174170488,1.3231369535358053,2.7397176974697444,1.0,0.0,0.0,7.3717659864914635,0,0.0,0.4644800779661,-0.01816324533695883,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
87,-0.9164137535713724,1.0913818749276003,-0.21757788924078383,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-1.6233458438859283,1.0,0.1904721284239469,0.0,0.0,-0.8537429269514175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,-0.9853395565364335,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451985,-0.4098750849311718,0.0,0.0,0.0,7.3655787807248805,0,0.0,-0.5540456764251104,0.013990244595860254,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
470,0.8203110883455357,-1.142158201533439,0.08367918471705907,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,1.0,1.0,0.0,0.0,-0.3379108243126916,0.0,-1.2800392329889014,1.0,0.0,-0.29889725247854426,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.04475227785703656,2.075797899949888,-0.018982875270270226,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451985,2.6090298252208037,1.0,0.0,0.0,8.061297574508709,0,0.0,-0.1976838900588855,0.9347618976154198,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4143,1.2578916446128132,0.9706017184611289,0.8870962234788065,1.671610732921225,1.2163751163610201,1.149959016590269,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,0.3048066854739267,1.0,-0.05356839748444563,0.0,0.0,0.00935034445082976,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.286691197821805,-0.4994353526443309,0.24803673402695908,0.0,1.7086180039291816,-0.19291022174170488,1.302925622317273,2.646799430072935,1.0,0.0,0.0,7.626916150343751,0,0.0,0.7740398290680628,1.278454915836639,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
